id,capability,category,first_seen,last_seen,domain,stated_status_in_source,backlog_row,prompt_ids
INV1-0598,"Unit 2 — registry learning loop for accept_attempted (BLESSED, flag-gated)",docs & process,docs/history/CLAUDE_full_2026-07.md:1918,docs/history/CLAUDE_full_2026-07.md:1918,lcc,stated: unspecified (finding/round note),,
INV1-0599,Unit 3 — junk 'leave_flagged' stops re-surfacing,identity,docs/history/CLAUDE_full_2026-07.md:1946,docs/history/CLAUDE_full_2026-07.md:1946,lcc,stated: unspecified (finding/round note),,
INV1-0600,R15 — cron/automation health sweep + artifact-offload disk runbook (2026-06-08),flows / automation,docs/history/CLAUDE_full_2026-07.md:1965,docs/history/CLAUDE_full_2026-07.md:1965,lcc,stated: unspecified (finding/round note),,R15
INV1-0601,Unit 1 (HIGH) — artifact-offload cron + the disk-pressure runbook,flows / automation,docs/history/CLAUDE_full_2026-07.md:1971,docs/history/CLAUDE_full_2026-07.md:1971,lcc,stated: unspecified (finding/round note),,
INV1-0602,Unit 2 — gov `mv_gov_overview_stats` stale (CONCURRENTLY needs a unique index),docs & process,docs/history/CLAUDE_full_2026-07.md:2059,docs/history/CLAUDE_full_2026-07.md:2059,gov,stated: unspecified (finding/round note),,
INV1-0603,Unit 3 — stale benign flow_failure alert (single-failure TTL),docs & process,docs/history/CLAUDE_full_2026-07.md:2067,docs/history/CLAUDE_full_2026-07.md:2067,lcc,stated: unspecified (finding/round note),,
INV1-0604,"Phase 2 — SharePoint folder-feed worker (Slice 1, 2026-06-09)",ingestion,docs/history/CLAUDE_full_2026-07.md:2078,docs/history/CLAUDE_full_2026-07.md:2078,lcc,stated: unspecified (finding/round note),,
INV1-0605,Phase 2 Slice 2a — PROPERTIES enrich-read channel (2026-06-10),docs & process,docs/history/CLAUDE_full_2026-07.md:2157,docs/history/CLAUDE_full_2026-07.md:2157,lcc,stated: unspecified (finding/round note),,
INV1-0606,Phase 2 Slice 2b — write LCC-generated docs back into property folders (2026-06-10),docs & process,docs/history/CLAUDE_full_2026-07.md:2227,docs/history/CLAUDE_full_2026-07.md:2227,lcc,stated: unspecified (finding/round note),,
INV1-0607,Phase 2 Slice 2f — On Market ingest on the frontier cursor + archive/working exclusion (2026-06-11),ingestion,docs/history/CLAUDE_full_2026-07.md:2316,docs/history/CLAUDE_full_2026-07.md:2316,lcc,stated: unspecified (finding/round note),,
INV1-0608,Unit 1 — ingest rides the frontier (structural fix),ingestion,docs/history/CLAUDE_full_2026-07.md:2326,docs/history/CLAUDE_full_2026-07.md:2326,lcc,stated: unspecified (finding/round note),,
INV1-0609,Unit 2 — exclude archive + working subfolders,docs & process,docs/history/CLAUDE_full_2026-07.md:2344,docs/history/CLAUDE_full_2026-07.md:2344,lcc,stated: unspecified (finding/round note),,
INV1-0610,"R15 — generic CRE property registry (the ""high-value middle"", Phase 1, 2026-06-11)",docs & process,docs/history/CLAUDE_full_2026-07.md:2370,docs/history/CLAUDE_full_2026-07.md:2370,lcc,stated: unspecified (finding/round note),,R15
INV1-0611,What shipped (Phase 1 = store + register-by-path + owner-entity + doc-attach),identity,docs/history/CLAUDE_full_2026-07.md:2382,docs/history/CLAUDE_full_2026-07.md:2382,lcc,stated: unspecified (finding/round note),,
INV1-0612,"Phase 2 (follow-ups, not in this phase)",docs & process,docs/history/CLAUDE_full_2026-07.md:2443,docs/history/CLAUDE_full_2026-07.md:2443,lcc,stated: unspecified (finding/round note),,
INV1-0613,Stage B Unit 1 — fix the lease-less-property gap + re-gate (2026-06-13),docs & process,docs/history/CLAUDE_full_2026-07.md:2449,docs/history/CLAUDE_full_2026-07.md:2449,lcc,stated: unspecified (finding/round note),,
INV1-0614,R16 — unlock the outreach loop: auto-acquire SF contacts + tighten reachability (2026-06-13),BD engine,docs/history/CLAUDE_full_2026-07.md:2517,docs/history/CLAUDE_full_2026-07.md:2517,lcc,stated: unspecified (finding/round note),,R16
INV1-0615,Unit 1 — the contact-acquisition worker (shipped),docs & process,docs/history/CLAUDE_full_2026-07.md:2528,docs/history/CLAUDE_full_2026-07.md:2528,lcc,stated: unspecified (finding/round note),,
INV1-0616,Unit 2 — reachability gate: SF account identity is NOT a reachable human,identity,docs/history/CLAUDE_full_2026-07.md:2562,docs/history/CLAUDE_full_2026-07.md:2562,lcc,stated: unspecified (finding/round note),,
INV1-0617,R17 — value-rank the connect-the-data work (P0.4 + P-CONTACT) (2026-06-13),docs & process,docs/history/CLAUDE_full_2026-07.md:2597,docs/history/CLAUDE_full_2026-07.md:2597,lcc,stated: unspecified (finding/round note),,R17
INV1-0618,Bounding the cost (the R7 caching doctrine),docs & process,docs/history/CLAUDE_full_2026-07.md:2626,docs/history/CLAUDE_full_2026-07.md:2626,lcc,stated: unspecified (finding/round note),,R7
INV1-0619,Follow-ups (not in R17),docs & process,docs/history/CLAUDE_full_2026-07.md:2681,docs/history/CLAUDE_full_2026-07.md:2681,lcc,stated: unspecified (finding/round note),,R17
INV1-0620,R18 — durable DB-growth prevention: close the whack-a-mole (2026-06-15),docs & process,docs/history/CLAUDE_full_2026-07.md:2687,docs/history/CLAUDE_full_2026-07.md:2687,lcc,stated: unspecified (finding/round note),,R18
INV1-0621,Unit 1 — autovacuum hardening parity (repo migration),docs & process,docs/history/CLAUDE_full_2026-07.md:2708,docs/history/CLAUDE_full_2026-07.md:2708,lcc,stated: unspecified (finding/round note),,
INV1-0622,Unit 2 — alert when a CRITICAL maintenance cron is disabled,flows / automation,docs/history/CLAUDE_full_2026-07.md:2717,docs/history/CLAUDE_full_2026-07.md:2717,lcc,stated: unspecified (finding/round note),,
INV1-0623,"R20 — a person is their own contact (the near-free outreach unlock, 2026-06-15)",BD engine,docs/history/CLAUDE_full_2026-07.md:2743,docs/history/CLAUDE_full_2026-07.md:2743,lcc,stated: unspecified (finding/round note),,R20
INV1-0624,Unit 1 — reachability: a person with email/phone IS reachable,docs & process,docs/history/CLAUDE_full_2026-07.md:2756,docs/history/CLAUDE_full_2026-07.md:2756,lcc,stated: unspecified (finding/round note),,
INV1-0625,Unit 2 — self-stamp the contact so the draft path has a recipient,docs & process,docs/history/CLAUDE_full_2026-07.md:2773,docs/history/CLAUDE_full_2026-07.md:2773,lcc,stated: unspecified (finding/round note),,
INV1-0626,Unit 3 — draft resolves the recipient from the person's own email,docs & process,docs/history/CLAUDE_full_2026-07.md:2791,docs/history/CLAUDE_full_2026-07.md:2791,lcc,stated: unspecified (finding/round note),,
INV1-0627,R22 — cross-DB mirror deletion propagation (orphan reconcile) (2026-06-15),docs & process,docs/history/CLAUDE_full_2026-07.md:2818,docs/history/CLAUDE_full_2026-07.md:2818,lcc,stated: unspecified (finding/round note),,R22
INV1-0628,"Follow-up (NOT in R22, surfaced not buried)",docs & process,docs/history/CLAUDE_full_2026-07.md:2884,docs/history/CLAUDE_full_2026-07.md:2884,lcc,stated: unspecified (finding/round note),,R22
INV1-0629,R23 — exclude soft-archived gov properties from the value-ranking mirror (2026-06-16),docs & process,docs/history/CLAUDE_full_2026-07.md:2894,docs/history/CLAUDE_full_2026-07.md:2894,gov,stated: unspecified (finding/round note),,R23
INV1-0630,Implementation (recommended approach #1 — extend the R22 reconcile),docs & process,docs/history/CLAUDE_full_2026-07.md:2915,docs/history/CLAUDE_full_2026-07.md:2915,lcc,stated: unspecified (finding/round note),,R22
INV1-0631,R24 — close the self-improvement loops: wire the producers (2026-06-16),docs & process,docs/history/CLAUDE_full_2026-07.md:2959,docs/history/CLAUDE_full_2026-07.md:2959,lcc,stated: unspecified (finding/round note),,R24
INV1-0632,Unit 1 (the headline root cause) — `recordTemplateSend` wrote phantom columns,docs & process,docs/history/CLAUDE_full_2026-07.md:2968,docs/history/CLAUDE_full_2026-07.md:2968,lcc,stated: unspecified (finding/round note),,
INV1-0633,Unit 2 — reply capture → `emails_replied` + the engagement/pause branch,docs & process,docs/history/CLAUDE_full_2026-07.md:2994,docs/history/CLAUDE_full_2026-07.md:2994,lcc,stated: unspecified (finding/round note),,
INV1-0634,"Unit 3 (correctness guard) — don't penalize ""unopened"" without open tracking",infra / CI / security,docs/history/CLAUDE_full_2026-07.md:3014,docs/history/CLAUDE_full_2026-07.md:3014,lcc,stated: unspecified (finding/round note),,
INV1-0635,Unit 4 — performance-aware template selection (ships dark),docs & process,docs/history/CLAUDE_full_2026-07.md:3027,docs/history/CLAUDE_full_2026-07.md:3027,lcc,stated: unspecified (finding/round note),,
INV1-0636,"Unit 5 — enable provenance learning (activation only, Scott's blessing)",docs & process,docs/history/CLAUDE_full_2026-07.md:3037,docs/history/CLAUDE_full_2026-07.md:3037,lcc,stated: unspecified (finding/round note),,
INV1-0637,R25 — daily-driver UX last-mile + the two-cockpit doctrine (2026-06-15),docs & process,docs/history/CLAUDE_full_2026-07.md:3063,docs/history/CLAUDE_full_2026-07.md:3063,lcc,stated: unspecified (finding/round note),,R25
INV1-0638,Unit 1 — location-agreement guard (`lease-extractor.js`),infra / CI / security,docs/history/CLAUDE_full_2026-07.md:3105,docs/history/CLAUDE_full_2026-07.md:3105,lcc,stated: unspecified (finding/round note),,
INV1-0639,Unit 2 — draft-document policy (`folder-feed-classify.js` + the choke point),ingestion,docs/history/CLAUDE_full_2026-07.md:3137,docs/history/CLAUDE_full_2026-07.md:3137,lcc,stated: unspecified (finding/round note),,
INV1-0640,"Unit 3 — re-process the held docs (POST-DEPLOY runbook, NOT done here)",infra / CI / security,docs/history/CLAUDE_full_2026-07.md:3161,docs/history/CLAUDE_full_2026-07.md:3161,lcc,stated: unspecified (finding/round note),,
INV1-0641,"Unit 4 — Decision Center data-quality rows (surface, don't bury — LIVE op)",BD engine,docs/history/CLAUDE_full_2026-07.md:3172,docs/history/CLAUDE_full_2026-07.md:3172,lcc,stated: shipped/live (LIVE),,
INV1-0642,R34 — cadence dashboard value-rank + small hygiene (2026-06-16),BD engine,docs/history/CLAUDE_full_2026-07.md:3193,docs/history/CLAUDE_full_2026-07.md:3193,lcc,stated: unspecified (finding/round note),,R34
INV1-0643,Unit 1 — fanout-proof `v_bd_cadence_dashboard`,docs & process,docs/history/CLAUDE_full_2026-07.md:3204,docs/history/CLAUDE_full_2026-07.md:3204,lcc,stated: unspecified (finding/round note),,
INV1-0644,Unit 2 — value-rank the dashboard (the real lever),surfaces,docs/history/CLAUDE_full_2026-07.md:3213,docs/history/CLAUDE_full_2026-07.md:3213,lcc,stated: unspecified (finding/round note),,
INV1-0645,Unit 3 — retire the stale row + light staleness guard,infra / CI / security,docs/history/CLAUDE_full_2026-07.md:3230,docs/history/CLAUDE_full_2026-07.md:3230,lcc,stated: unspecified (finding/round note),,
INV1-0646,R35 — reconcile external_identities asset links (the table R22/R23 missed) (2026-06-16),docs & process,docs/history/CLAUDE_full_2026-07.md:3258,docs/history/CLAUDE_full_2026-07.md:3258,lcc,stated: unspecified (finding/round note),,R22;R23;R35
INV1-0647,Unit 1 — retype the dia CCN-mislabels (don't delete; the CCN values are valid),docs & process,docs/history/CLAUDE_full_2026-07.md:3266,docs/history/CLAUDE_full_2026-07.md:3266,dia,stated: unspecified (finding/round note),,
INV1-0648,"Unit 2 + 3 — prune true orphans (census-based, reversible) + forward reconcile",docs & process,docs/history/CLAUDE_full_2026-07.md:3300,docs/history/CLAUDE_full_2026-07.md:3300,lcc,stated: unspecified (finding/round note),,
INV1-0649,R39 — contact/entity dedup: email as a write-time key + auto-work merge candidates (2026-06-16),identity,docs/history/CLAUDE_full_2026-07.md:3342,docs/history/CLAUDE_full_2026-07.md:3342,lcc,stated: unspecified (finding/round note),,R39
INV1-0650,"Unit 1 — email as a write-time resolution key (prevent-at-write, the leverage)",docs & process,docs/history/CLAUDE_full_2026-07.md:3354,docs/history/CLAUDE_full_2026-07.md:3354,lcc,stated: unspecified (finding/round note),,
INV1-0651,Unit 0 (engine) — make `lcc_merge_entity` person-complete (grounding refuted the premise),docs & process,docs/history/CLAUDE_full_2026-07.md:3366,docs/history/CLAUDE_full_2026-07.md:3366,lcc,stated: unspecified (finding/round note),,
INV1-0652,Unit 2 — auto-work the high-confidence slice; route the rest to review,docs & process,docs/history/CLAUDE_full_2026-07.md:3383,docs/history/CLAUDE_full_2026-07.md:3383,lcc,stated: unspecified (finding/round note),,
INV1-0653,Unit 3 — surface the ambiguous remainder in the Decision Center,BD engine,docs/history/CLAUDE_full_2026-07.md:3400,docs/history/CLAUDE_full_2026-07.md:3400,lcc,stated: unspecified (finding/round note),,
INV1-0654,Follow-ups (NOT in R39),docs & process,docs/history/CLAUDE_full_2026-07.md:3414,docs/history/CLAUDE_full_2026-07.md:3414,lcc,stated: unspecified (finding/round note),,R39
INV1-0655,R40 — reconcile historical merge-orphans + consolidate cadence on merge (2026-06-16),identity,docs/history/CLAUDE_full_2026-07.md:3421,docs/history/CLAUDE_full_2026-07.md:3421,lcc,stated: unspecified (finding/round note),,R40
INV1-0656,Unit 1 — the one-time historical pass,docs & process,docs/history/CLAUDE_full_2026-07.md:3463,docs/history/CLAUDE_full_2026-07.md:3463,lcc,stated: unspecified (finding/round note),,
INV1-0657,Unit 2 — consolidate cadence on merge (engine + the existing 19),identity,docs/history/CLAUDE_full_2026-07.md:3476,docs/history/CLAUDE_full_2026-07.md:3476,lcc,stated: unspecified (finding/round note),,
INV1-0658,"Unit 0 — the matching helper (`api/_shared/sf-id.js`, ONE place)",docs & process,docs/history/CLAUDE_full_2026-07.md:3533,docs/history/CLAUDE_full_2026-07.md:3533,lcc,stated: unspecified (finding/round note),,
INV1-0659,"Unit 1-3 — the worker (`api/_handlers/sf-link-reconcile.js`, no new api/*.js)",docs & process,docs/history/CLAUDE_full_2026-07.md:3541,docs/history/CLAUDE_full_2026-07.md:3541,lcc,stated: unspecified (finding/round note),,
INV1-0660,Unit 1 — root cause (receipts on the real misses),docs & process,docs/history/CLAUDE_full_2026-07.md:3684,docs/history/CLAUDE_full_2026-07.md:3684,lcc,stated: unspecified (finding/round note),,
INV1-0661,Unit 2 — fixes (reuse `lcc_advance_onboarding_cadence` + the single-advance owner),ownership,docs/history/CLAUDE_full_2026-07.md:3703,docs/history/CLAUDE_full_2026-07.md:3703,lcc,stated: unspecified (finding/round note),,
INV1-0662,NBT Phase 2 — SF activity ingest for Tasks (all statuses) + Events (2026-06-20),ingestion,docs/history/CLAUDE_full_2026-07.md:3750,docs/history/CLAUDE_full_2026-07.md:3750,lcc,stated: unspecified (finding/round note),,
INV1-0663,"Unit 1 — Tasks of ALL statuses (open + completed, deal-linked or not)",docs & process,docs/history/CLAUDE_full_2026-07.md:3764,docs/history/CLAUDE_full_2026-07.md:3764,lcc,stated: unspecified (finding/round note),,
INV1-0664,"Unit 2 — Events (meetings), a different shape than Tasks",docs & process,docs/history/CLAUDE_full_2026-07.md:3780,docs/history/CLAUDE_full_2026-07.md:3780,lcc,stated: unspecified (finding/round note),,
INV1-0665,"Unit 3 — the archived deep-history limitation (surfaced, NOT faked)",docs & process,docs/history/CLAUDE_full_2026-07.md:3793,docs/history/CLAUDE_full_2026-07.md:3793,lcc,stated: unspecified (finding/round note),,
INV1-0666,R50 — geographic BD features on the existing geocode coverage (2026-06-20),docs & process,docs/history/CLAUDE_full_2026-07.md:4019,docs/history/CLAUDE_full_2026-07.md:4019,lcc,stated: unspecified (finding/round note),,R50
INV1-0667,Follow-ups (NOT in R50),docs & process,docs/history/CLAUDE_full_2026-07.md:4090,docs/history/CLAUDE_full_2026-07.md:4090,lcc,stated: unspecified (finding/round note),,R50
INV1-0668,R51 — make the deed grantee win the owner conflict (2026-06-20),ownership,docs/history/CLAUDE_full_2026-07.md:4096,docs/history/CLAUDE_full_2026-07.md:4096,lcc,stated: unspecified (finding/round note),,R51
INV1-0669,Unit 1 — wire the gov owner priority (mirror dia),ownership,docs/history/CLAUDE_full_2026-07.md:4112,docs/history/CLAUDE_full_2026-07.md:4112,all,stated: unspecified (finding/round note),,
INV1-0670,"Unit 2 — propagate deed grantee → recorded_owner (forward, authoritative-only)",ownership,docs/history/CLAUDE_full_2026-07.md:4124,docs/history/CLAUDE_full_2026-07.md:4124,lcc,stated: unspecified (finding/round note),,
INV1-0671,Unit 3 — detection view + Decision Center lane + dry-run-gated auto-subset,BD engine,docs/history/CLAUDE_full_2026-07.md:4142,docs/history/CLAUDE_full_2026-07.md:4142,lcc,stated: unspecified (finding/round note),,
INV1-0672,R53 — ownership change → suspected-sale + research signal (GSA lessor + deed) (2026-06-20),ownership,docs/history/CLAUDE_full_2026-07.md:4180,docs/history/CLAUDE_full_2026-07.md:4180,lcc,stated: unspecified (finding/round note),,R53
INV1-0673,Unit 1 — link gsa_lease_events → properties (prerequisite),docs & process,docs/history/CLAUDE_full_2026-07.md:4207,docs/history/CLAUDE_full_2026-07.md:4207,lcc,stated: unspecified (finding/round note),,
INV1-0674,Unit 2 — elevate the GSA lessor change → suspected sale,docs & process,docs/history/CLAUDE_full_2026-07.md:4215,docs/history/CLAUDE_full_2026-07.md:4215,lcc,stated: unspecified (finding/round note),,
INV1-0675,Unit 3 — suspected-sale candidates + Decision Center lane,BD engine,docs/history/CLAUDE_full_2026-07.md:4227,docs/history/CLAUDE_full_2026-07.md:4227,lcc,stated: unspecified (finding/round note),,
INV1-0676,Unit 4 — corroborate the four owner sources + owner ladder,ownership,docs/history/CLAUDE_full_2026-07.md:4249,docs/history/CLAUDE_full_2026-07.md:4249,lcc,stated: unspecified (finding/round note),,
INV1-0677,Unit 5 — stale GSA diff (operational),docs & process,docs/history/CLAUDE_full_2026-07.md:4265,docs/history/CLAUDE_full_2026-07.md:4265,lcc,stated: unspecified (finding/round note),,
INV1-0678,Follow-ups (NOT in R53),docs & process,docs/history/CLAUDE_full_2026-07.md:4284,docs/history/CLAUDE_full_2026-07.md:4284,lcc,stated: unspecified (finding/round note),,R53
INV1-0679,R54 — loan maturity (+ distress) as a value-ranked BD trigger (2026-06-20),flows / automation,docs/history/CLAUDE_full_2026-07.md:4291,docs/history/CLAUDE_full_2026-07.md:4291,lcc,stated: unspecified (finding/round note),,R54
INV1-0680,Unit 1 — the maturity-watch view (the BD trigger source),flows / automation,docs/history/CLAUDE_full_2026-07.md:4304,docs/history/CLAUDE_full_2026-07.md:4304,lcc,stated: unspecified (finding/round note),,
INV1-0681,Unit 2 — surfaced as a value-ranked BD action (the headline),docs & process,docs/history/CLAUDE_full_2026-07.md:4323,docs/history/CLAUDE_full_2026-07.md:4323,lcc,stated: unspecified (finding/round note),,
INV1-0682,"Unit 3 — populate the distress flags (the honest finding: case b, no writer fix)",docs & process,docs/history/CLAUDE_full_2026-07.md:4347,docs/history/CLAUDE_full_2026-07.md:4347,lcc,stated: unspecified (finding/round note),,
INV1-0683,"Unit 4 — maturity/leverage grade-factor: DEFERRED (gated, R49 pattern)",docs & process,docs/history/CLAUDE_full_2026-07.md:4369,docs/history/CLAUDE_full_2026-07.md:4369,lcc,stated: unspecified (finding/round note),,R49
INV1-0684,Follow-ups (NOT in R54),docs & process,docs/history/CLAUDE_full_2026-07.md:4385,docs/history/CLAUDE_full_2026-07.md:4385,lcc,stated: unspecified (finding/round note),,R54
INV1-0685,R58 — OCR/text foundation + wire the orphaned deed parser (read the docs we hold) (2026-06-20),ingestion,docs/history/CLAUDE_full_2026-07.md:4496,docs/history/CLAUDE_full_2026-07.md:4496,lcc,stated: unspecified (finding/round note),,R58
INV1-0686,Unit 1 — shared document-text/OCR foundation (`api/_shared/document-text.js`),ingestion,docs/history/CLAUDE_full_2026-07.md:4529,docs/history/CLAUDE_full_2026-07.md:4529,lcc,stated: unspecified (finding/round note),,
INV1-0687,"Unit 1 + 2 — the worker (`api/_handlers/document-text.js`, sub-route of intake.js)",docs & process,docs/history/CLAUDE_full_2026-07.md:4540,docs/history/CLAUDE_full_2026-07.md:4540,lcc,stated: unspecified (finding/round note),,
INV1-0688,"Unit 2 — wire the deed parser, SCHEMA-CORRECT + R51 feed (`deed-parser.js`)",ingestion,docs/history/CLAUDE_full_2026-07.md:4553,docs/history/CLAUDE_full_2026-07.md:4553,lcc,stated: unspecified (finding/round note),,R51
INV1-0689,Unit 3 — clear the lease OCR tail (`lease-extractor.js`),ingestion,docs/history/CLAUDE_full_2026-07.md:4575,docs/history/CLAUDE_full_2026-07.md:4575,lcc,stated: unspecified (finding/round note),,
INV1-0690,"Unit 4 — rent-roll + dd/bov (DEFERRED, document-only)",BOV / OM / dossier,docs/history/CLAUDE_full_2026-07.md:4583,docs/history/CLAUDE_full_2026-07.md:4583,lcc,stated: unspecified (finding/round note),,
INV1-0691,"Unit 1 — free tier = the workhorse, upgraded (`scripts/lease-ocr-backfill.mjs`)",ingestion,docs/history/CLAUDE_full_2026-07.md:4642,docs/history/CLAUDE_full_2026-07.md:4642,lcc,stated: unspecified (finding/round note),,
INV1-0692,"Unit 2 — cheap cloud as the escalation, NOT gpt-4o (`document-text.js`)",docs & process,docs/history/CLAUDE_full_2026-07.md:4653,docs/history/CLAUDE_full_2026-07.md:4653,lcc,stated: unspecified (finding/round note),,
INV1-0693,Unit 3 — measure to size the spend,docs & process,docs/history/CLAUDE_full_2026-07.md:4667,docs/history/CLAUDE_full_2026-07.md:4667,lcc,stated: unspecified (finding/round note),,
INV1-0694,Unit 1 — the surgical fix (`api/_handlers/lease-extractor.js`),docs & process,docs/history/CLAUDE_full_2026-07.md:4756,docs/history/CLAUDE_full_2026-07.md:4756,lcc,stated: unspecified (finding/round note),,
INV1-0695,"Unit 2 — re-process the parked backlog (versioned reparse, R58c pattern)",docs & process,docs/history/CLAUDE_full_2026-07.md:4774,docs/history/CLAUDE_full_2026-07.md:4774,lcc,stated: unspecified (finding/round note),,R58c
INV1-0696,R59 — propagate document-extraction into the BD spine (deed/lease) (2026-06-22),docs & process,docs/history/CLAUDE_full_2026-07.md:4802,docs/history/CLAUDE_full_2026-07.md:4802,lcc,stated: unspecified (finding/round note),,R59
INV1-0697,What shipped (all gated on optional deps → R58 behavior byte-identical),docs & process,docs/history/CLAUDE_full_2026-07.md:4834,docs/history/CLAUDE_full_2026-07.md:4834,lcc,stated: unspecified (finding/round note),,R58
INV1-0698,Follow-ups (NOT in R59),docs & process,docs/history/CLAUDE_full_2026-07.md:4898,docs/history/CLAUDE_full_2026-07.md:4898,lcc,stated: unspecified (finding/round note),,R59
INV1-0699,R60 — stop the research-task backlog runaway (value-gate the chain producers) (2026-06-22),docs & process,docs/history/CLAUDE_full_2026-07.md:4904,docs/history/CLAUDE_full_2026-07.md:4904,lcc,stated: unspecified (finding/round note),,R60
INV1-0700,"Unit 3 + Unit 2 (the headline) — value-gate the producer + bulk-close (DB, applied live)",ingestion,docs/history/CLAUDE_full_2026-07.md:4919,docs/history/CLAUDE_full_2026-07.md:4919,lcc,stated: unspecified (finding/round note),,
INV1-0701,"Unit 2B (JS, ships on Railway redeploy) — consumer closes the unresolvable",infra / CI / security,docs/history/CLAUDE_full_2026-07.md:4948,docs/history/CLAUDE_full_2026-07.md:4948,lcc,stated: unspecified (finding/round note),,
INV1-0702,Unit 1 — drain the resolvable,docs & process,docs/history/CLAUDE_full_2026-07.md:4960,docs/history/CLAUDE_full_2026-07.md:4960,lcc,stated: unspecified (finding/round note),,
INV1-0703,"R63 — make cadence track REAL relationships, not captured noise (2026-06-23)",BD engine,docs/history/CLAUDE_full_2026-07.md:4988,docs/history/CLAUDE_full_2026-07.md:4988,lcc,stated: unspecified (finding/round note),,R63
INV1-0704,Unit 1 — gate the producer (stop seeding noise),ingestion,docs/history/CLAUDE_full_2026-07.md:5011,docs/history/CLAUDE_full_2026-07.md:5011,lcc,stated: unspecified (finding/round note),,
INV1-0705,"Unit 2 — pause the pure-capture noise (reversible sweep, applied live)",docs & process,docs/history/CLAUDE_full_2026-07.md:5023,docs/history/CLAUDE_full_2026-07.md:5023,lcc,stated: unspecified (finding/round note),,
INV1-0706,Unit 3 — grow the cadence from real outreach (the inversion),BD engine,docs/history/CLAUDE_full_2026-07.md:5035,docs/history/CLAUDE_full_2026-07.md:5035,lcc,stated: unspecified (finding/round note),,
INV1-0707,Unit 4 — honest dashboard,surfaces,docs/history/CLAUDE_full_2026-07.md:5046,docs/history/CLAUDE_full_2026-07.md:5046,lcc,stated: unspecified (finding/round note),,
INV1-0708,"R64 — Decision Center: surface actionable verdicts, gate the federated noise (Consumption Layer #4) (2026-06-23)",BD engine,docs/history/CLAUDE_full_2026-07.md:5064,docs/history/CLAUDE_full_2026-07.md:5064,lcc,stated: unspecified (finding/round note),,R64
INV1-0709,"Unit 1 + 4 — separate the surfaces, honest badge (JS, ships on Railway)",infra / CI / security,docs/history/CLAUDE_full_2026-07.md:5074,docs/history/CLAUDE_full_2026-07.md:5074,lcc,stated: unspecified (finding/round note),,
INV1-0710,Unit 2 — value-rank + cap (already satisfied),docs & process,docs/history/CLAUDE_full_2026-07.md:5084,docs/history/CLAUDE_full_2026-07.md:5084,lcc,stated: unspecified (finding/round note),,
INV1-0711,"Unit 3 — auto-resolve the mechanically-SAFE subset (DB, applied live)",docs & process,docs/history/CLAUDE_full_2026-07.md:5089,docs/history/CLAUDE_full_2026-07.md:5089,lcc,stated: unspecified (finding/round note),,
INV1-0712,"UI Phase 2 — Overview parity (dia ↔ gov, value-first) (2026-06-23)",surfaces,docs/history/CLAUDE_full_2026-07.md:5115,docs/history/CLAUDE_full_2026-07.md:5115,all,stated: unspecified (finding/round note),,
INV1-0713,"UI Phase 3 — tab set + naming unification (dia ↔ gov) (2026-06-24, COMPLETE)",surfaces,docs/history/CLAUDE_full_2026-07.md:5187,docs/history/CLAUDE_full_2026-07.md:5187,all,stated: shipped/live (COMPLETE),,
INV1-0714,Unit 0 — dia-tile residuals (DIA_OVERVIEW_TILE_AUDIT_2026-06-23),docs & process,docs/history/CLAUDE_full_2026-07.md:5233,docs/history/CLAUDE_full_2026-07.md:5233,dia,stated: unspecified (finding/round note),,
INV1-0715,"UI Phase 5 — ""Owners Missing a Contact"" value-ranked BD worklist (2026-06-24)",BD engine,docs/history/CLAUDE_full_2026-07.md:5255,docs/history/CLAUDE_full_2026-07.md:5255,lcc,stated: unspecified (finding/round note),,
INV1-0716,"Unit 1 — the worklist view (LCC Opps, additive, applied live)",docs & process,docs/history/CLAUDE_full_2026-07.md:5271,docs/history/CLAUDE_full_2026-07.md:5271,lcc,stated: unspecified (finding/round note),,
INV1-0717,Unit 2 + 3 — the surface + the action (client only),docs & process,docs/history/CLAUDE_full_2026-07.md:5294,docs/history/CLAUDE_full_2026-07.md:5294,lcc,stated: unspecified (finding/round note),,
INV1-0718,Phase 5b — one-click-run the owner-contact-enrich worker from a worklist row (2026-06-24),ownership,docs/history/CLAUDE_full_2026-07.md:5328,docs/history/CLAUDE_full_2026-07.md:5328,lcc,stated: unspecified (finding/round note),,
INV1-0719,"Unit 1 — Today on-ramp (""Work Your Outreach"")",BD engine,docs/history/CLAUDE_full_2026-07.md:5500,docs/history/CLAUDE_full_2026-07.md:5500,lcc,stated: unspecified (finding/round note),,
INV1-0720,Unit 3 — focus-mode session (`ops.js` `renderOutreachFocus`),docs & process,docs/history/CLAUDE_full_2026-07.md:5509,docs/history/CLAUDE_full_2026-07.md:5509,lcc,stated: unspecified (finding/round note),,
INV1-0721,Unit 2 — recipient resolution robustness (rarely hit today),docs & process,docs/history/CLAUDE_full_2026-07.md:5529,docs/history/CLAUDE_full_2026-07.md:5529,lcc,stated: unspecified (finding/round note),,
INV1-0722,Unit 2 — extend pivot-ensure to non-bridged high-value worklist owners,docs & process,docs/history/CLAUDE_full_2026-07.md:5759,docs/history/CLAUDE_full_2026-07.md:5759,lcc,stated: unspecified (finding/round note),,
